author,depth_1,depth_10,depth_11,depth_12,depth_13,depth_14,depth_15,depth_2,depth_3,depth_4,depth_5,depth_6,depth_7,depth_8,depth_9
Abgaryan,0.0,0.0075,0.0028,0.0008,0.0007,0.0002,0.0004,0.0719,0.1869,0.259,0.2016,0.1431,0.0726,0.0375,0.0151
Adamov,0.0044,0.0052,0.0022,0.0007,0.0002,0.0002,0.0001,0.1274,0.2405,0.2217,0.1807,0.1152,0.062,0.0275,0.0123
Aksakov,0.0,0.0247,0.0123,0.0057,0.0022,0.001,0.001,0.0272,0.0945,0.1702,0.2081,0.1825,0.1357,0.0853,0.0494
Akunin,0.0012,0.0069,0.0033,0.0017,0.0001,0.0004,0.0,0.1055,0.2532,0.2417,0.1784,0.1083,0.0587,0.0287,0.012
AkuninBorisova,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.2099,0.3759,0.2495,0.1045,0.0427,0.011,0.0045,0.001
AkuninBrusnikin,0.001,0.0018,0.001,0.0002,0.0,0.0,0.0,0.1157,0.2931,0.2642,0.1738,0.0889,0.0389,0.0162,0.0051
Aldanov,0.0008,0.0076,0.003,0.0011,0.0005,0.0003,0.0001,0.076,0.224,0.2439,0.188,0.1282,0.0707,0.038,0.0175
Aleshkovsky,0.0006,0.0127,0.0062,0.0038,0.0027,0.0007,0.0017,0.1738,0.2562,0.1936,0.1373,0.0919,0.0606,0.035,0.0233
Alexander Hofman,0.0003,0.0312,0.0118,0.0031,0.0034,0.0003,0.0009,0.0271,0.0705,0.1307,0.1996,0.2148,0.1581,0.0988,0.0493
Astafiev,0.0001,0.0127,0.0057,0.0044,0.0021,0.0006,0.0005,0.1039,0.1736,0.1983,0.1859,0.144,0.091,0.0516,0.0257
Bakhtin,0.0,0.0221,0.0096,0.006,0.0026,0.0021,0.0019,0.0405,0.102,0.1704,0.2033,0.1816,0.1339,0.0775,0.0465
Barinova,0.0013,0.0013,0.0004,0.0001,0.0,0.0,0.0,0.1259,0.2898,0.2574,0.1767,0.0896,0.0388,0.0139,0.0048
Belyaev,0.0005,0.0031,0.0014,0.0003,0.0003,0.0,0.0,0.1275,0.2862,0.2689,0.1701,0.0798,0.0393,0.0164,0.0064
Belyanin,0.0026,0.0005,0.0001,0.0002,0.0,0.0,0.0,0.1203,0.3019,0.2897,0.1764,0.0751,0.0245,0.0068,0.0019
Bobkova,0.0,0.0533,0.0218,0.0143,0.0074,0.0057,0.0086,0.0017,0.0332,0.086,0.1645,0.204,0.1777,0.1284,0.0934
BonchOsmolovskaya,0.0001,0.0058,0.0024,0.0006,0.0006,0.0001,0.0003,0.0707,0.2044,0.2767,0.2152,0.1286,0.0527,0.0295,0.0123
Brustein,0.0013,0.0042,0.0013,0.0007,0.0005,0.0001,0.0,0.1063,0.2546,0.244,0.1867,0.1081,0.0556,0.0258,0.0109
Bulgakov,0.0043,0.0049,0.0021,0.001,0.0004,0.0003,0.0002,0.1796,0.2552,0.2156,0.1592,0.0906,0.0497,0.0255,0.0113
Bulychev,0.0003,0.0051,0.002,0.0009,0.0003,0.0002,0.0002,0.1205,0.2832,0.237,0.1626,0.0979,0.0533,0.0253,0.0112
Bushkov,0.0009,0.0076,0.0037,0.0014,0.0006,0.0003,0.0003,0.1125,0.262,0.2243,0.1659,0.1089,0.0631,0.0329,0.0156
Bykov,0.0,0.003,0.0015,0.0004,0.0,0.0001,0.0001,0.1335,0.2174,0.2263,0.197,0.1221,0.0627,0.026,0.01
Chechin,0.0,0.0046,0.0012,0.0023,0.0,0.0012,0.0,0.0151,0.1263,0.2932,0.2399,0.1773,0.0857,0.0394,0.0139
Chekhov,0.007,0.007,0.0031,0.0014,0.0007,0.0003,0.0003,0.169,0.2489,0.2161,0.1536,0.0945,0.0544,0.0289,0.0147
Cherkasova,0.001,0.0012,0.0003,0.0001,0.0,0.0,0.0,0.1327,0.2824,0.2875,0.1716,0.078,0.0299,0.0111,0.0039
Convlab,0.0001,0.0006,0.0003,0.0001,0.0,0.0,0.0,0.1778,0.297,0.2797,0.1558,0.0616,0.0199,0.0053,0.0017
Derevyanko,0.0024,0.0025,0.0009,0.0003,0.0001,0.0,0.0,0.1199,0.2989,0.2542,0.1699,0.0903,0.0397,0.015,0.0058
DoctorPiter,0.0,0.004,0.0013,0.0026,0.0013,0.0013,0.0,0.0,0.0238,0.1801,0.2927,0.249,0.1404,0.0689,0.0344
Dombrowski,0.0003,0.0039,0.002,0.0007,0.0006,0.0001,0.0001,0.127,0.296,0.2476,0.1639,0.085,0.0431,0.0205,0.0093
Doronina,0.0034,0.006,0.0019,0.0005,0.0005,0.0,0.0001,0.1548,0.248,0.2175,0.1541,0.1072,0.0594,0.0325,0.0141
Dostoevsky,0.0002,0.0141,0.0071,0.0038,0.0018,0.0011,0.0011,0.0788,0.1981,0.2229,0.1854,0.1289,0.0819,0.0483,0.0265
Dovlatov,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.1654,0.4974,0.2406,0.0739,0.0183,0.0028,0.0004,0.0
Dragunski,0.001,0.0026,0.0008,0.0004,0.0003,0.0004,0.0001,0.1613,0.3078,0.2444,0.1488,0.0768,0.0363,0.0135,0.0056
Drobyshevsky,0.0003,0.008,0.0028,0.0009,0.0006,0.0001,0.0001,0.0693,0.1271,0.2267,0.2336,0.1705,0.0939,0.047,0.0191
Drobyshevsky Rupasova,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.1407,0.3437,0.2563,0.1397,0.0844,0.0231,0.006,0.001
Dubchak,0.0036,0.0084,0.0038,0.0013,0.0013,0.0002,0.0,0.1286,0.2486,0.2192,0.1728,0.106,0.0598,0.0291,0.0173
EdimDoma,0.0,0.006,0.0012,0.0012,0.0012,0.0,0.0,0.0,0.018,0.1815,0.3401,0.2596,0.1286,0.0517,0.0108
Efremov,0.0006,0.0094,0.0034,0.0015,0.0008,0.0002,0.0002,0.0559,0.1634,0.2322,0.2212,0.1563,0.0886,0.0457,0.0205
Epstein,0.0007,0.0261,0.0121,0.0055,0.0024,0.001,0.0013,0.034,0.0842,0.1415,0.2051,0.1975,0.1512,0.0892,0.0482
Exler,0.0008,0.0071,0.0028,0.0015,0.0006,0.0004,0.0001,0.1038,0.3189,0.2292,0.1478,0.0918,0.0533,0.0267,0.0153
