,author_id,feature_importance,features,feature_stats,tfidf,author,feature_names
0,0,"[np.float64(3564.864179996459), np.float64(3444.786619760323), np.float64(2909.429421982318), np.float64(2454.837856712674), np.float64(2024.8287110835324)]","[740, 1325, 1147, 1356, 1256]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(-9.434225793992845e-12), np.float64(0.0014643375268351391), np.float64(0.0), np.float64(0.0)]",Abgaryan,"['(VERB, <-, SCONJ, cc)' '(PRON, ->, PRON, orphan)' '(ADV, <-, PART, cc)'
 '(PROPN, ->, NUM, nummod)' '(NOUN, ->, PRON, nsubj)']"
1,1,"[np.float64(10451.98660719934), np.float64(7116.825043696424), np.float64(6957.904640439793), np.float64(4539.598808417761), np.float64(4435.617359989631)]","[202, 761, 306, 1373, 117]","[2, 0, 0, 0, 0]","[np.float64(0.009154163506935709), np.float64(0.0049501769642688095), np.float64(0.0002923733247772638), np.float64(0.00012135779367977136), np.float64(0.0017553779025229084)]",Adamov,"['(VERB, ->, ADV, xcomp)' '(AUX, ->, PROPN, root)'
 '(PRON, ->, ADV, advmod)' '(VERB, ->, VERB, cop)'
 '(PUNCT, ->, NUM, conj)']"
2,2,"[np.float64(6858.719263188753), np.float64(5410.496118459526), np.float64(4657.803241125785), np.float64(4593.496201641499), np.float64(4429.877170937482)]","[853, 524, 257, 1383, 646]","[1, 9, 0, 2, 0]","[np.float64(0.0039009708384544553), np.float64(0.002029838060723645), np.float64(0.009128354330893963), np.float64(0.009725019076275756), np.float64(0.00040461546330467434)]",Aksakov,"['(VERB, <-, NOUN, mark)' '(ADP, ->, NUM, nummod)'
 '(PRON, <-, ADV, advmod)' '(DET, ->, PROPN, obl)' '(ADJ, ->, PRON, iobj)']"
3,3,"[np.float64(1882.1335197260828), np.float64(1165.9906714859603), np.float64(1118.9575263862291), np.float64(1032.1971540283782), np.float64(1028.656398181366)]","[519, 979, 1174, 736, 1443]","[0, 0, 0, 0, 77]","[np.float64(0.012542343394256559), np.float64(0.018813515091384837), np.float64(0.0), np.float64(0.0), np.float64(0.0062711716971282794)]",AkuninBorisova,"['(PRON, <-, AUX, cop)' '(ADJ, <-, ADP, case)' '(VERB, ->, PRON, iobj)'
 '(ADJ, <-, VERB, advcl)' '(NOUN, ->, CCONJ, cc)']"
4,4,"[np.float64(5273.170979563499), np.float64(5074.917343284979), np.float64(4757.905640593412), np.float64(4399.959500656345), np.float64(4138.547591167333)]","[990, 603, 1326, 161, 59]","[0, 0, 1, 1, 0]","[np.float64(0.008862191620174126), np.float64(0.0008032008066118069), np.float64(0.0014595710624045908), np.float64(0.005685273413870737), np.float64(0.0)]",AkuninBrusnikin,"['(DET, <-, CCONJ, advmod)' '(ADJ, <-, NUM, advmod)'
 '(AUX, ->, NOUN, appos)' '(VERB, ->, PROPN, flat:foreign)'
 '(VERB, ->, PROPN, xcomp)']"
5,5,"[np.float64(6064.904217823831), np.float64(5405.262413723764), np.float64(5017.396938218114), np.float64(4870.334791710884), np.float64(4796.992902061659)]","[1056, 1396, 1235, 910, 942]","[56, 0, 4, 0, 0]","[np.float64(0.0015659198753633365), np.float64(0.0006855340543219249), np.float64(0.0), np.float64(0.00039147996884083413), np.float64(0.002739383344981253)]",Akunin,"['(NOUN, <-, SCONJ, advmod)' '(NUM, <-, AUX, cop)' '(X, <-, PRON, iobj)'
 '(AUX, ->, PRON, root)' '(VERB, ->, NOUN, obl)']"
6,6,"[np.float64(4685.603796752318), np.float64(4397.221375955276), np.float64(4114.361707528688), np.float64(4071.0257423577505), np.float64(3925.590439641447)]","[219, 158, 24, 1230, 1026]","[0, 0, 0, 0, 0]","[np.float64(0.0005830606861604515), np.float64(0.011663622550995324), np.float64(0.01906079114185196), np.float64(0.023618956670869568), np.float64(0.06042470855142659)]",Aldanov,"['(NOUN, <-, ADV, nmod)' '(CCONJ, <-, PAD, punct)'
 '(ADV, ->, PART, discourse)' '(ADJ, ->, X, mark)'
 '(PROPN, ->, NUM, flat:foreign)']"
7,7,"[np.float64(5138.774147846095), np.float64(4378.350146922964), np.float64(3794.8889685446793), np.float64(3528.7396203346034), np.float64(3469.2837711689062)]","[476, 1438, 242, 1063, 1303]","[0, 0, 6, 0, 0]","[np.float64(0.00980227551947842), np.float64(0.034088474559374554), np.float64(0.008773629928138849), np.float64(0.000881461581578597), np.float64(0.04239604320920269)]",Aleshkovsky,"['(NOUN, ->, ADV, appos)' '(ADP, ->, PRON, advmod)'
 '(PROPN, ->, DET, det)' '(PRON, <-, NOUN, parataxis)'
 '(PUNCT, ->, PROPN, appos)']"
8,8,"[np.float64(3267.2153128146483), np.float64(795.5573028867507), np.float64(745.133785978212), np.float64(725.875914154705), np.float64(605.2733834197775)]","[1144, 1211, 518, 815, 715]","[8, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.011440413813494352), np.float64(0.009524800155474309), np.float64(0.0035325980102686436)]",Alexander Hofman,"['(PROPN, <-, NOUN, nmod)' '(ADV, ->, SYM, mark)'
 '(VERB, ->, VERB, punct)' '(VERB, <-, VERB, nsubj)'
 '(PROPN, ->, ADJ, conj)']"
9,9,"[np.float64(5082.417543612433), np.float64(3943.492660662627), np.float64(3864.673118600367), np.float64(2689.6450937827976), np.float64(2647.2915746829235)]","[680, 327, 1268, 734, 628]","[0, 0, 1, 0, 1]","[np.float64(0.0003688062133805312), np.float64(0.0033269220768963057), np.float64(0.0), np.float64(0.004515372265625926), np.float64(0.009515962384397064)]",Astafiev,"['(VERB, <-, SCONJ, fixed)' '(PUNCT, ->, NOUN, nsubj)'
 '(ADJ, <-, PART, cc)' '(DET, <-, INTJ, mark)' '(ADJ, ->, ADJ, iobj)']"
10,10,"[np.float64(2505.1217326375468), np.float64(2165.561638914081), np.float64(2117.9260230954264), np.float64(1783.5575467179208), np.float64(1602.744564376476)]","[465, 859, 527, 713, 170]","[0, 0, 0, 0, 53]","[np.float64(0.007739973287768571), np.float64(0.009718858743478685), np.float64(0.004399095913309428), np.float64(0.0019294654631980546), np.float64(0.005244690194437892)]",Bakhtin,"['(PRON, ->, ADV, obl)' '(NUM, ->, VERB, acl)' '(NOUN, <-, NOUN, conj)'
 '(NOUN, ->, X, parataxis)' '(PART, <-, X, punct)']"
