,author_id,info_gain,features,feature_stats,tfidf,author,feature_names
0,0,"[np.float64(0.03441788914798738), np.float64(0.034122324730195164), np.float64(0.033677095006621416), np.float64(0.027056016532603033), np.float64(0.02678621110294488)]","[151, 867, 1190, 1382, 795]","[0, 0, 0, 0, 0]","[np.float64(0.004014683851133541), np.float64(0.01817091684878924), np.float64(0.0037241048422334178), np.float64(0.0), np.float64(0.0378937834060394)]",Abgaryan,"['(ADJ, ->, ADJ, obl)' '(VERB, <-, NOUN, obj)' '(PRON, ->, ADJ, conj)'
 '(X, <-, X, amod)' '(ADV, <-, PRON, cop)']"
1,1,"[np.float64(0.035891051104903204), np.float64(0.027898620125092477), np.float64(0.021433568840103057), np.float64(0.019548836007770687), np.float64(0.017851316500513303)]","[1188, 1149, 1101, 1018, 169]","[74, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.007588419292257594), np.float64(0.0), np.float64(0.006361028889741283), np.float64(0.0)]",Adamov,"['(INTJ, ->, VERB, parataxis)' '(ADJ, ->, AUX, xcomp)'
 '(NOUN, ->, NUM, acl:relcl)' '(NUM, ->, VERB, conj)'
 '(PRON, ->, SCONJ, appos)']"
2,2,"[np.float64(0.06644039055712747), np.float64(0.05599419354442525), np.float64(0.04647820314491291), np.float64(0.04594777538685513), np.float64(0.04040125845141518)]","[257, 1201, 262, 1257, 1166]","[105, 0, 27, 0, 0]","[np.float64(0.011749249293074934), np.float64(0.00040461546330467434), np.float64(0.00031647138735673667), np.float64(0.00047080643359011606), np.float64(0.025568161576094477)]",Aksakov,"['(PRON, <-, ADV, advmod)' '(PRON, <-, PART, cc)' '(AUX, ->, ADV, conj)'
 '(VERB, ->, INTJ, ccomp)' '(AUX, ->, VERB, csubj)']"
3,3,"[np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248237)]","[493, 51, 388, 849, 1158]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0028587242525727613), np.float64(0.012542343394256559), np.float64(0.0062711716971282794), np.float64(0.012542343394256559)]",AkuninBorisova,"['(NOUN, ->, NOUN, obl)' '(NUM, ->, VERB, advcl)' '(PRON, <-, DET, det)'
 '(VERB, <-, ADV, obl)' '(AUX, <-, ADV, mark)']"
4,4,"[np.float64(0.03313593963410566), np.float64(0.0201812351992674), np.float64(0.017928447860171448), np.float64(0.01769825335744213), np.float64(0.015792832091578335)]","[1188, 1397, 689, 202, 346]","[0, 0, 0, 74, 0]","[np.float64(0.0010175275253604286), np.float64(0.004855456368918521), np.float64(0.009951453306455634), np.float64(0.0), np.float64(0.008018027143438846)]",AkuninBrusnikin,"['(INTJ, ->, VERB, parataxis)' '(PRON, <-, PART, obl)'
 '(NOUN, <-, PRON, iobj)' '(VERB, ->, ADV, xcomp)'
 '(PRON, ->, PART, orphan)']"
5,5,"[np.float64(0.05662647646932428), np.float64(0.05012863613359708), np.float64(0.048444561063603064), np.float64(0.04753267492213631), np.float64(0.04697732137744404)]","[665, 908, 1431, 775, 1280]","[0, 1, 0, 1, 0]","[np.float64(0.0), np.float64(0.006226547442826786), np.float64(0.002082666010676298), np.float64(0.005548046242417026), np.float64(0.00042738323239234504)]",Akunin,"['(AUX, ->, ADJ, obl)' '(DET, ->, NOUN, conj)' '(VERB, ->, NUM, iobj)'
 '(NUM, ->, PROPN, parataxis)' '(ADV, ->, ADV, obl)']"
6,6,"[np.float64(0.13303351976634104), np.float64(0.09534054308198625), np.float64(0.0937490235590015), np.float64(0.09281672126401164), np.float64(0.09161298832040932)]","[1093, 1233, 690, 1285, 1105]","[0, 0, 2, 0, 0]","[np.float64(0.008236242308650133), np.float64(0.011925344431349894), np.float64(0.0015493284050849955), np.float64(0.003106732013166105), np.float64(0.01801304815000272)]",Aldanov,"['(NUM, <-, SCONJ, advmod)' '(CCONJ, ->, PROPN, flat:foreign)'
 '(SCONJ, <-, ADP, case)' '(ADJ, <-, SCONJ, root)' '(ADJ, <-, X, amod)']"
7,7,"[np.float64(0.037195694532912604), np.float64(0.027470016042298484), np.float64(0.024575428565376534), np.float64(0.0228311971840508), np.float64(0.022430991235024567)]","[1396, 413, 507, 987, 1262]","[0, 0, 0, 1, 0]","[np.float64(0.002929852114537575), np.float64(0.04885480059878213), np.float64(0.0), np.float64(0.01148397031356835), np.float64(0.004626789730625506)]",Aleshkovsky,"['(NUM, <-, AUX, cop)' '(ADJ, ->, NOUN, nsubj)' '(PROPN, <-, NUM, advmod)'
 '(ADV, ->, PART, conj)' '(PRON, ->, SCONJ, parataxis)']"
8,8,"[np.float64(0.023274811972684994), np.float64(0.022300966674966727), np.float64(0.022300966674966727), np.float64(0.022300966674966505), np.float64(0.021327121377248237)]","[1144, 1029, 1387, 608, 413]","[0, 0, 0, 8, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0015459644546156174), np.float64(0.0), np.float64(0.0035325980102686436)]",Alexander Hofman,"['(PROPN, <-, NOUN, nmod)' '(PROPN, <-, PROPN, det)'
 '(PAD, ->, NUM, conj)' '(PUNCT, <-, ADJ, amod)' '(ADJ, ->, NOUN, nsubj)']"
9,9,"[np.float64(0.04594547932032833), np.float64(0.03782930147823682), np.float64(0.03658838489951888), np.float64(0.033428125618590876), np.float64(0.032455220739621704)]","[1351, 352, 787, 357, 28]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0028834591631977467), np.float64(0.012572850253742966), np.float64(0.00893680863318684), np.float64(0.0)]",Astafiev,"['(DET, ->, ADJ, orphan)' '(NOUN, <-, X, nsubj)'
 '(VERB, <-, INTJ, compound)' '(ADJ, ->, VERB, csubj:pass)'
 '(VERB, ->, PROPN, ccomp)']"
