Author	Mean depth	Std	Books
Abgaryan	4,68	0,436	7
Adamov	4,32	0,034	3
Aksakov	5,74	0,227	5
AkuninBorisova	3,45	0,000	1
AkuninBrusnikin	4,05	0,079	3
Akunin	4,36	0,606	11
Aldanov	4,60	0,423	20
Aleshkovsky	4,36	0,745	6
Alexander Hofman	5,96	0,000	1
Astafiev	4,88	0,097	4
Bakhtin	5,64	0,384	4
Barinova	4,02	0,000	1
bashinform 202	5,49	0,000	1
Belyaev	4,04	0,177	10
Belyanin	3,89	0,151	8
Bobkova	6,86	0,000	1
BonchOsmolovskaya	4,53	0,139	4
Brustein	4,30	0,269	7
Bulgakov	4,08	0,555	8
Bulychev	4,21	0,495	11
Bushkov	4,39	0,422	10
Bykov	4,33	0,262	9
Chechin	4,99	0,000	1
Chekhov	4,18	0,510	10
Cherkasova	3,94	0,131	6
Convlab	3,72	0,058	3
Derevyanko	4,04	0,000	1
DoctorPiter	5,72	0,000	1
Dombrowski	4,09	0,342	8
Doronina	4,24	0,000	1
Dostoevsky	4,86	0,474	14
Dovlatov	3,31	0,114	7
Dragunski	3,89	0,065	4
Drobyshevsky Rupasova	3,79	0,000	1
Drobyshevsky	4,96	0,244	4
Dubchak	4,35	0,000	1
EdimDoma	5,55	0,000	1
Efremov	4,91	0,261	9
Epstein	5,84	0,238	3
Exler	4,23	0,389	5
Fadeev	4,86	0,184	4
Furmanov	4,53	0,086	5
Gachev	5,22	0,597	3
Gasymov	4,31	0,614	2
Gaydar	3,97	0,124	4
GazetaRu	5,96	0,000	1
Gelb	4,43	0,314	4
Gorelov	5,60	0,000	1
GorVestnik	6,34	0,000	1
Granin	4,26	0,363	6
Grekova	3,85	0,209	8
Grin	4,67	0,144	8
Gusev	5,61	0,048	2
Gusiatnikova	7,00	0,000	1
Hoffman	4,09	0,138	5
Kassil	3,94	0,121	9
Kataev	4,10	0,648	9
Kaverin	4,70	0,297	13
Kirsanova Anodina Aksenov	5,64	0,000	1
Knabe	6,13	0,227	2
Koni	5,78	0,000	1
Kozlov	3,80	0,291	5
Krapivin	3,62	0,079	14
Kuprin	4,53	0,191	9
Lermontov	5,46	0,455	3
Losev	5,82	0,293	10
Lubimova	4,44	0,000	1
Lukyanenko	3,93	0,136	8
Lungu	5,12	0,000	1
Makushinskiyi	5,60	0,248	6
Malevish	5,93	0,262	3
Mamin-Sibiryak	4,39	0,238	10
Mamina	4,30	0,000	1
Marchik	3,99	0,000	1
Marinina	4,32	0,120	10
Mikhalkov	3,75	0,533	2
Moshkov	4,37	0,178	5
NakedScience	5,97	0,000	1
nlobooks[ru]	7,22	0,000	1
Nosov	4,08	0,325	5
Oseeva	3,81	0,078	5
Oster	3,48	0,088	2
Plevako	5,68	0,000	1
Preobrazhensky	4,16	0,209	4
Prokofeva	3,73	0,129	4
Pushkin	4,46	0,238	2
pvlida	6,69	0,000	1
Regentov	4,04	0,322	5
Rubina	4,59	0,048	3
Rybakov	4,01	0,192	9
Salnikov	5,24	0,486	3
SaltykovSchedrin	5,54	0,520	8
Semihatov	6,30	0,000	1
Serafimovich	4,46	0,148	9
Sergeev-Tsenskij	4,61	0,376	4
Shevtsov	4,71	0,380	2
Shukshin	3,52	0,043	2
ShushpanovLouk	3,85	0,000	1
Shushpanov	3,63	0,068	2
Simonov	4,46	0,591	4
Soloviev	4,57	0,000	1
Solovyov	4,88	0,000	1
Stepnova	4,36	0,594	4
Strugatskie	3,90	0,226	10
Tamonikov	3,91	0,130	7
TEDRus	5,68	0,000	1
Teffi	3,79	0,030	5
Tolstoy	5,11	0,667	16
Turgenev	4,33	0,398	5
Uspensky	3,48	0,167	9
Vainery	4,17	0,246	11
vestnik nsu	6,35	0,305	2
VestnikRayona	6,15	0,000	1
Vladimirova	3,96	0,000	1
Vlasova	4,30	0,060	3
Voinovich	4,25	0,497	10
Volkov	4,49	0,154	6
Vorotyntseva	5,16	0,000	1
YasenevoMedia	5,94	0,000	1
Zemlyanoj	4,33	0,218	12
Zhitkov	3,55	0,417	5
ZlotnikovNikolaev	4,71	0,183	3
Zlotnikov	4,41	0,141	3
Zoschenko	3,99	0,321	7
