,author_id,feature_importance,features,feature_stats,feature_names,author
0,0,"[np.float64(197.2708507294325), np.float64(151.14046266611874), np.float64(142.2228365730117), np.float64(113.94815702076615), np.float64(111.79281341759989)]","[np.int64(9), np.int64(79), np.int64(904), np.int64(922), np.int64(200)]","[np.float64(0.08029090094444022), np.float64(0.030057408442477555), np.float64(0.0065040104566214734), np.float64(0.01099989988407942), np.float64(0.01719044131742456)]","[np.str_('(AUX, ->, DET, nsubj)'), np.str_('(NOUN, <-, NOUN, ccomp)'), np.str_('(X, ->, NOUN, parataxis)'), np.str_('(ADJ, <-, PRON, conj)'), np.str_('(ADV, <-, ADJ, conj)')]",Abgaryan
1,1,"[np.float64(313.83441358775895), np.float64(262.0375267969732), np.float64(149.69133044798718), np.float64(139.02003166472733), np.float64(136.41955773501653)]","[np.int64(732), np.int64(639), np.int64(1205), np.int64(413), np.int64(138)]","[np.float64(0.03621882724126609), np.float64(0.044896459780915214), np.float64(0.0025811038604877453), np.float64(0.01359415487405764), np.float64(0.007771880815213756)]","[np.str_('(DET, ->, VERB, fixed)'), np.str_('(NOUN, ->, PROPN, parataxis)'), np.str_('(ADV, ->, ADV, obl)'), np.str_('(PRON, ->, NOUN, nsubj)'), np.str_('(PRON, <-, PROPN, flat:name)')]",Adamov
2,2,"[np.float64(241.20002910568297), np.float64(173.81708888430538), np.float64(160.2681052493929), np.float64(151.75476295430988), np.float64(132.78586876978167)]","[np.int64(307), np.int64(193), np.int64(946), np.int64(1545), np.int64(478)]","[np.float64(0.05647110391273666), np.float64(0.01913416061544535), np.float64(0.01276872593983692), np.float64(0.022758497663461365), np.float64(0.007163926052423668)]","[np.str_('(VERB, ->, VERB, cc)'), np.str_('(ADJ, ->, CCONJ, mark)'), np.str_('(ADJ, <-, PRON, nmod)'), np.str_('(ADP, <-, NOUN, amod)'), np.str_('(CCONJ, ->, SCONJ, mark)')]",Aksakov
3,3,"[np.float64(145.53243393812645), np.float64(111.07217154460852), np.float64(96.43771129903371), np.float64(91.84021708158022), np.float64(90.05203182012892)]","[np.int64(597), np.int64(105), np.int64(1466), np.int64(240), np.int64(554)]","[np.float64(0.025084686788513118), np.float64(0.09406757545692418), np.float64(0.0), np.float64(0.018813515091384837), np.float64(0.04389820187989795)]","[np.str_('(ADV, <-, INTJ, appos)'), np.str_('(PART, <-, DET, conj)'), np.str_('(VERB, <-, ADV, nsubj)'), np.str_('(ADJ, <-, DET, conj)'), np.str_('(VERB, ->, PROPN, obj)')]",AkuninBorisova
4,4,"[np.float64(238.77902986678106), np.float64(211.99441083487872), np.float64(194.05690951085361), np.float64(185.85414843068241), np.float64(168.03193035710467)]","[np.int64(423), np.int64(1), np.int64(83), np.int64(1375), np.int64(1868)]","[np.float64(0.03217181676064319), np.float64(0.01745161307334676), np.float64(0.011642670341018745), np.float64(0.007879363739474282), np.float64(0.007035199262739002)]","[np.str_('(ADJ, <-, VERB, amod)'), np.str_('(DET, ->, PART, cc)'), np.str_('(PRON, ->, ADV, discourse)'), np.str_('(VERB, ->, X, obl)'), np.str_('(SCONJ, <-, PART, root)')]",AkuninBrusnikin
5,5,"[np.float64(698.3436609520631), np.float64(483.15354395713535), np.float64(295.5211530677017), np.float64(268.9657701281602), np.float64(262.02761397724606)]","[np.int64(526), np.int64(110), np.int64(1637), np.int64(71), np.int64(464)]","[np.float64(0.056840050501567), np.float64(0.01699531526653887), np.float64(0.009164620414546147), np.float64(0.010131101978276833), np.float64(0.015185890583036257)]","[np.str_('(ADJ, <-, ADJ, det)'), np.str_('(PART, ->, PAD, flat:name)'), np.str_('(NOUN, ->, PRON, punct)'), np.str_('(VERB, ->, PAD, ccomp)'), np.str_('(PROPN, ->, ADV, punct)')]",Akunin
6,6,"[np.float64(336.5905525128267), np.float64(265.3804817071102), np.float64(210.074995878286), np.float64(179.52968707113504), np.float64(166.23813953157367)]","[np.int64(310), np.int64(153), np.int64(1339), np.int64(934), np.int64(899)]","[np.float64(0.03417011678381686), np.float64(0.08655495404855673), np.float64(0.03679100244312615), np.float64(0.021840824208319627), np.float64(0.014918564790105325)]","[np.str_('(NOUN, <-, ADJ, punct)'), np.str_('(ADV, <-, SYM, conj)'), np.str_('(ADJ, ->, VERB, nmod)'), np.str_('(ADJ, <-, NOUN, nummod:gov)'), np.str_('(NOUN, ->, SYM, orphan)')]",Aldanov
7,7,"[np.float64(147.04547532173342), np.float64(133.62193574648379), np.float64(129.6955305380141), np.float64(122.01268270570347), np.float64(121.75542882053142)]","[np.int64(38), np.int64(117), np.int64(418), np.int64(946), np.int64(1412)]","[np.float64(0.04634426427203968), np.float64(0.06363550666126874), np.float64(0.013353813742000996), np.float64(0.010821513168781214), np.float64(0.03078955704298429)]","[np.str_('(NOUN, <-, ADV, punct)'), np.str_('(INTJ, ->, NOUN, nsubj)'), np.str_('(NOUN, ->, AUX, aux)'), np.str_('(ADJ, <-, PRON, nmod)'), np.str_('(NUM, ->, ADV, obl)')]",Aleshkovsky
8,8,"[np.float64(106.09145011116176), np.float64(82.23247342419384), np.float64(78.26440003128536), np.float64(76.16674819747314), np.float64(70.9138805622765)]","[np.int64(713), np.int64(141), np.int64(186), np.int64(616), np.int64(795)]","[np.float64(0.03443581594671481), np.float64(0.027619900544553717), np.float64(0.02826078408214915), np.float64(0.0056458746649043655), np.float64(0.02119558806161186)]","[np.str_('(PAD, ->, PART, advmod)'), np.str_('(PUNCT, ->, ADV, root)'), np.str_('(PRON, <-, VERB, appos)'), np.str_('(PUNCT, <-, PROPN, punct)'), np.str_('(NOUN, <-, DET, punct)')]",Alexander Hofman
9,9,"[np.float64(177.14518486824602), np.float64(165.77008111748205), np.float64(140.46310040203852), np.float64(136.36806071836727), np.float64(130.89240440155635)]","[np.int64(733), np.int64(385), np.int64(374), np.int64(977), np.int64(588)]","[np.float64(0.00151429329191286), np.float64(0.00609665610138529), np.float64(0.007214635569804964), np.float64(0.0020317069779646237), np.float64(0.0034759441693308357)]","[np.str_('(ADJ, ->, PROPN, appos)'), np.str_('(DET, ->, PRON, nmod)'), np.str_('(VERB, ->, X, iobj)'), np.str_('(ADV, <-, PROPN, parataxis)'), np.str_('(PRON, <-, PRON, advcl)')]",Astafiev
