,author_id,info_gain,features,feature_stats,author,feature_names
0,0,"[np.float64(0.07181826975579286), np.float64(0.06390661136941889), np.float64(0.06355217993631967), np.float64(0.06301380945315926), np.float64(0.06272094694860086)]","[1481, 1288, 1269, 1227, 1222]","[np.float64(0.0003597167781064664), np.float64(0.0005865390994046368), np.float64(0.0008032235537972329), np.float64(0.0009922633098714683), np.float64(0.0010910222484040917)]",Abgaryan,"['(INTJ, <-, INTJ, root)' '(ADJ, ->, PROPN, root)'
 '(PROPN, ->, PART, advmod)' '(PAD, ->, VERB, aux:pass)'
 '(INTJ, ->, NOUN, nmod)']"
1,1,"[np.float64(0.041832729301667815), np.float64(0.03776373060902849), np.float64(0.036968315493315695), np.float64(0.03650430841584262), np.float64(0.03644053910280887)]","[534, 347, 410, 3, 633]","[np.float64(0.003779925029253538), np.float64(0.00610053016338217), np.float64(0.005099454954520905), np.float64(0.05640128608550692), np.float64(0.003074499066517301)]",Adamov,"['(PART, ->, ADJ, root)' '(NUM, ->, ADV, parataxis)'
 '(PROPN, ->, X, flat:foreign)' '(X, <-, PROPN, flat)'
 '(PRON, <-, DET, acl)']"
2,2,"[np.float64(0.06644039055712747), np.float64(0.06080819200198706), np.float64(0.06077419384615468), np.float64(0.05915321025999676), np.float64(0.05706773814964905)]","[134, 1401, 720, 1, 761]","[np.float64(0.01883629903262058), np.float64(0.001048151239649741), np.float64(0.003852678427512901), np.float64(0.12783673415466834), np.float64(0.0035358711007592372)]",Aksakov,"['(PRON, ->, VERB, det)' '(PROPN, ->, CCONJ, appos)'
 '(VERB, <-, ADV, nsubj)' '(X, ->, PROPN, mark)' '(ADJ, <-, DET, appos)']"
3,3,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[37, 108, 203, 491, 527]","[np.float64(0.03762703018276967), np.float64(0.012542343394256559), np.float64(0.018813515091384837), np.float64(0.0062711716971282794), np.float64(0.0062711716971282794)]",AkuninBorisova,"['(ADV, ->, CCONJ, fixed)' '(PAD, <-, VERB, conj)'
 '(ADV, ->, PROPN, nmod)' '(PAD, ->, PRON, flat:foreign)'
 '(ADV, <-, VERB, nsubj)']"
4,4,"[np.float64(0.042874260677961185), np.float64(0.0402990568667847), np.float64(0.040142589600761336), np.float64(0.03936742651278624), np.float64(0.036802566916547264)]","[120, 189, 155, 1124, 72]","[np.float64(0.023786368322173814), np.float64(0.016989540650287186), np.float64(0.020497904055232344), np.float64(0.002372558522030769), np.float64(0.033497781477941996)]",AkuninBrusnikin,"['(PART, ->, PAD, root)' '(NOUN, <-, PUNCT, advmod)'
 '(NUM, ->, ADJ, advmod)' '(NUM, ->, PART, appos)'
 '(ADV, ->, SCONJ, fixed)']"
5,5,"[np.float64(0.07306116156875153), np.float64(0.07187145856887556), np.float64(0.0714637425282385), np.float64(0.06789067852647857), np.float64(0.06614257541237789)]","[25, 165, 451, 346, 32]","[np.float64(0.056840050501567), np.float64(0.02169471000955735), np.float64(0.010380885667845667), np.float64(0.012710646556546147), np.float64(0.051665288249398596)]",Akunin,"['(AUX, <-, PART, cc)' '(PAD, ->, NOUN, iobj)'
 '(SCONJ, ->, ADV, acl:relcl)' '(CCONJ, ->, PART, parataxis)'
 '(DET, ->, ADP, advmod)']"
6,6,"[np.float64(0.14756677983004973), np.float64(0.1455092985298556), np.float64(0.14020922632778765), np.float64(0.1382187583739749), np.float64(0.13633113043240108)]","[99, 139, 16, 411, 55]","[np.float64(0.03127993969410638), np.float64(0.025517423898750422), np.float64(0.0683206027892582), np.float64(0.0112086945707011), np.float64(0.039161972568423395)]",Aldanov,"['(CCONJ, ->, PRON, cop)' '(NUM, ->, NUM, punct)' '(INTJ, ->, ADP, mark)'
 '(PAD, ->, NOUN, det)' '(PART, ->, X, cop)']"
7,7,"[np.float64(0.06861678178285124), np.float64(0.06517529458113835), np.float64(0.06459694676136074), np.float64(0.05826219225698759), np.float64(0.05751211758092056)]","[55, 35, 814, 1206, 1605]","[np.float64(0.04088965379681669), np.float64(0.04937248405743887), np.float64(0.004583288595440734), np.float64(0.002744131477978184), np.float64(0.0009319158337684338)]",Aleshkovsky,"['(PART, ->, X, cop)' '(ADJ, ->, PROPN, discourse)' '(PART, <-, X, flat)'
 '(ADV, <-, DET, det)' '(AUX, ->, ADV, csubj)']"
8,8,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[45, 60, 140, 153, 171]","[np.float64(0.003663384675182427), np.float64(0.0035325980102686436), np.float64(0.02826078408214915), np.float64(0.017662990051343218), np.float64(0.007065196020537287)]",Alexander Hofman,"['(DET, <-, PART, root)' '(INTJ, ->, PUNCT, fixed)' '(NUM, <-, DET, obl)'
 '(NOUN, ->, INTJ, obl)' '(PRON, <-, ADV, amod)']"
9,9,"[np.float64(0.05220515725774688), np.float64(0.050551937830441096), np.float64(0.0500114115424064), np.float64(0.04928367858875993), np.float64(0.047889973311971534)]","[1209, 121, 631, 161, 766]","[np.float64(0.001609220390488945), np.float64(0.021100428303856875), np.float64(0.004777927193435098), np.float64(0.017839959162204835), np.float64(0.003577181990188269)]",Astafiev,"['(ADJ, ->, INTJ, punct)' '(PUNCT, <-, VERB, obl)'
 '(INTJ, <-, VERB, csubj)' '(INTJ, ->, ADV, acl:relcl)'
 '(PROPN, <-, PUNCT, nummod)']"
10,10,"[np.float64(0.05417653262417799), np.float64(0.05371335743704353), np.float64(0.05277996082258374), np.float64(0.05254202011984066), np.float64(0.05216824326734448)]","[7, 1696, 10, 1168, 102]","[np.float64(0.06551716353606711), np.float64(0.0004890144565205637), np.float64(0.060089862019191885), np.float64(0.0016019297632308815), np.float64(0.018838736585355183)]",Bakhtin,"['(VERB, <-, PAD, case)' '(INTJ, ->, NOUN, advcl)'
 '(X, <-, PRON, nsubj:pass)' '(PRON, ->, PRON, nummod:gov)'
 '(PROPN, <-, VERB, appos)']"
11,11,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[100, 143, 250, 282, 373]","[np.float64(0.0002977232264474474), np.float64(0.0005811113773461353), np.float64(0.003627319373011992), np.float64(0.0018457377192458418), np.float64(0.010098180451686901)]",Barinova,"['(ADJ, <-, NUM, nsubj)' '(VERB, <-, X, parataxis)'
 '(VERB, ->, NUM, nummod:gov)' '(NOUN, <-, ADV, advcl)'
 '(CCONJ, ->, ADJ, advcl)']"
12,12,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[73, 221, 293, 327, 337]","[np.float64(0.003147049737245417), np.float64(0.0002794268368344679), np.float64(0.002068019599249095), np.float64(0.0002519749000408662), np.float64(0.0002351864018223184)]",bashinform 202,"['(DET, <-, CCONJ, fixed)' '(VERB, <-, CCONJ, expl)'
 '(ADV, ->, NOUN, PAD)' '(NOUN, ->, X, discourse)' '(ADV, ->, ADJ, nmod)']"
13,13,"[np.float64(0.07759416494703564), np.float64(0.07432014835918832), np.float64(0.07399782193383775), np.float64(0.07056822246871608), np.float64(0.06866680233112643)]","[864, 1656, 803, 12, 1855]","[np.float64(0.0018577263697916661), np.float64(0.0003758483390341351), np.float64(0.0021464844077616323), np.float64(0.04467870527278687), np.float64(0.00014000553802622967)]",Belyaev,"['(NUM, <-, VERB, parataxis)' '(NOUN, ->, INTJ, cop)'
 '(PUNCT, ->, PART, amod)' '(PROPN, <-, PRON, obj)' '(NUM, ->, ADV, mark)']"
14,14,"[np.float64(0.0719558671510766), np.float64(0.07034163146685568), np.float64(0.0679263530809564), np.float64(0.06711407652806012), np.float64(0.0639876921771898)]","[1302, 294, 2, 42, 1553]","[np.float64(0.002534160774144968), np.float64(0.013795905508222787), np.float64(0.10867755419399629), np.float64(0.04348792364234091), np.float64(0.0016574292137785977)]",Belyanin,"['(PAD, ->, PROPN, nmod)' '(PROPN, ->, PUNCT, nsubj)'
 '(PRON, <-, AUX, orphan)' '(X, <-, ADV, fixed)' '(NOUN, ->, NUM, ccomp)']"
15,15,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[5, 36, 38, 42, 64]","[np.float64(0.003479185974484642), np.float64(0.002338600340118173), np.float64(0.0021757960705666842), np.float64(0.003479185974484642), np.float64(0.013916743897938568)]",Bobkova,"['(PAD, <-, NUM, amod)' '(PRON, <-, CCONJ, advmod)'
 '(PROPN, <-, ADV, nummod:gov)' '(X, <-, ADV, fixed)'
 '(ADP, ->, PART, appos)']"
