,author_id,info_gain,features,feature_stats,feature_names,author
0,0,"[np.float64(0.07181826975579286), np.float64(0.06390661136941889), np.float64(0.055448854127139624), np.float64(0.054919537247114736), np.float64(0.05345967552046327)]","[np.int64(1448), np.int64(1789), np.int64(85), np.int64(39), np.int64(1015)]","[np.float64(0.0003597167781064664), np.float64(0.0005865390994046368), np.float64(0.013062078496562872), np.float64(0.01537576642169655), np.float64(0.0011780062611820878)]","[np.str_('(VERB, ->, NUM, ccomp)'), np.str_('(NOUN, ->, VERB, orphan)'), np.str_('(PRON, ->, DET, conj)'), np.str_('(ADJ, ->, PRON, nsubj)'), np.str_('(VERB, <-, ADV, fixed)')]",Abgaryan
1,1,"[np.float64(0.03448508526517213), np.float64(0.03431625797488047), np.float64(0.032551791599042645), np.float64(0.0308893511516235), np.float64(0.030480085165585646)]","[np.int64(1024), np.int64(108), np.int64(100), np.int64(423), np.int64(336)]","[np.float64(0.003779925029253538), np.float64(0.002473278853237779), np.float64(0.002389532946497565), np.float64(0.003779925029253538), np.float64(0.002369073103781064)]","[np.str_('(ADV, <-, ADV, nmod)'), np.str_('(INTJ, ->, PRON, conj)'), np.str_('(ADJ, <-, NUM, advcl)'), np.str_('(ADJ, <-, VERB, amod)'), np.str_('(NOUN, <-, X, appos)')]",Adamov
2,2,"[np.float64(0.06080819200198706), np.float64(0.05706773814964905), np.float64(0.05433581875172211), np.float64(0.05430760902136078), np.float64(0.05134978309417648)]","[np.int64(600), np.int64(799), np.int64(419), np.int64(17), np.int64(1770)]","[np.float64(0.001048151239649741), np.float64(0.0035358711007592372), np.float64(0.004658753621506445), np.float64(0.007124539489586198), np.float64(0.0007479810228366702)]","[np.str_('(NUM, ->, ADV, nmod)'), np.str_('(DET, <-, VERB, conj)'), np.str_('(VERB, <-, VERB, obl)'), np.str_('(PRON, ->, ADJ, orphan)'), np.str_('(NOUN, <-, INTJ, conj)')]",Aksakov
3,3,"[np.float64(0.023274811972684994), np.float64(0.022300966674966727), np.float64(0.022300966674966505), np.float64(0.022300966674966505), np.float64(0.022300966674966505)]","[np.int64(883), np.int64(97), np.int64(731), np.int64(354), np.int64(349)]","[np.float64(0.001276969873009391), np.float64(0.0062711716971282794), np.float64(0.012542343394256559), np.float64(0.0062711716971282794), np.float64(0.0062711716971282794)]","[np.str_('(VERB, <-, NOUN, obl)'), np.str_('(PRON, <-, VERB, iobj)'), np.str_('(VERB, ->, PART, nsubj)'), np.str_('(PRON, ->, ADV, fixed)'), np.str_('(PRON, <-, NUM, conj)')]",AkuninBorisova
4,4,"[np.float64(0.04009761950587454), np.float64(0.03941496632738095), np.float64(0.032730892373557086), np.float64(0.031619858097380216), np.float64(0.03098745114651502)]","[np.int64(1648), np.int64(1957), np.int64(1987), np.int64(45), np.int64(623)]","[np.float64(0.020497904055232344), np.float64(0.0023725585220307687), np.float64(0.003763306601544461), np.float64(0.007159191908058391), np.float64(0.007879363739474282)]","[np.str_('(ADJ, ->, ADP, mark)'), np.str_('(PRON, ->, ADV, root)'), np.str_('(ADP, ->, NOUN, root)'), np.str_('(VERB, ->, ADV, det)'), np.str_('(ADJ, <-, ADJ, iobj)')]",AkuninBrusnikin
5,5,"[np.float64(0.07884198072993098), np.float64(0.06563137463069268), np.float64(0.06497874225649913), np.float64(0.06450053928758326), np.float64(0.06084692133184966)]","[np.int64(416), np.int64(694), np.int64(326), np.int64(176), np.int64(403)]","[np.float64(0.056840050501567), np.float64(0.007150674182050218), np.float64(0.014709516079842593), np.float64(0.051665288249398596), np.float64(0.009666617743232214)]","[np.str_('(VERB, ->, DET, conj)'), np.str_('(PRON, ->, ADP, case)'), np.str_('(ADJ, ->, ADJ, xcomp)'), np.str_('(VERB, <-, SCONJ, advcl)'), np.str_('(ADJ, <-, PRON, root)')]",Akunin
6,6,"[np.float64(0.14756677983004973), np.float64(0.1424635729096133), np.float64(0.1413632829760072), np.float64(0.14020922632778765), np.float64(0.12736642185027702)]","[np.int64(235), np.int64(407), np.int64(299), np.int64(1281), np.int64(192)]","[np.float64(0.031279939694106376), np.float64(0.011208694570701101), np.float64(0.03417011678381686), np.float64(0.06832060278925821), np.float64(0.08655495404855673)]","[np.str_('(NOUN, ->, PAD, acl:relcl)'), np.str_('(ADJ, <-, ADV, parataxis)'), np.str_('(PART, <-, VERB, conj)'), np.str_('(ADJ, ->, PART, conj)'), np.str_('(X, ->, DET, det)')]",Aldanov
7,7,"[np.float64(0.06517529458113835), np.float64(0.05514588145682919), np.float64(0.04685443435061809), np.float64(0.04655647053418399), np.float64(0.04572199957801881)]","[np.int64(0), np.int64(262), np.int64(36), np.int64(723), np.int64(621)]","[np.float64(0.04937248405743887), np.float64(0.04135672651445169), np.float64(0.009336219774580169), np.float64(0.0077708614501842185), np.float64(0.023314046666190538)]","[np.str_('(DET, ->, VERB, cop)'), np.str_('(NOUN, ->, PRON, flat:name)'), np.str_('(ADP, <-, PRON, parataxis)'), np.str_('(VERB, ->, DET, acl)'), np.str_('(PAD, <-, NOUN, nmod)')]",Aleshkovsky
8,8,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[np.int64(545), np.int64(264), np.int64(998), np.int64(780), np.int64(909)]","[np.float64(0.0109225239972684), np.float64(0.003663384675182427), np.float64(0.0035325980102686436), np.float64(0.0035325980102686436), np.float64(0.0035325980102686436)]","[np.str_('(ADJ, <-, ADV, ccomp)'), np.str_('(PRON, ->, CCONJ, cc)'), np.str_('(NOUN, ->, VERB, cop)'), np.str_('(PRON, ->, PRON, acl)'), np.str_('(VERB, ->, PUNCT, punct)')]",Alexander Hofman
9,9,"[np.float64(0.050551937830441096), np.float64(0.0443266606010595), np.float64(0.043751311437128515), np.float64(0.04169990507465582), np.float64(0.04161663036327923)]","[np.int64(173), np.int64(35), np.int64(1947), np.int64(298), np.int64(614)]","[np.float64(0.021100428303856875), np.float64(0.03270084100515125), np.float64(0.0019755976073838315), np.float64(0.026906415068643098), np.float64(0.0019112359864251504)]","[np.str_('(VERB, ->, PAD, conj)'), np.str_('(NOUN, ->, ADV, advmod)'), np.str_('(VERB, ->, AUX, advmod)'), np.str_('(ADJ, ->, DET, advmod)'), np.str_('(INTJ, <-, X, parataxis)')]",Astafiev
10,10,"[np.float64(0.05371335743704353), np.float64(0.05216824326734448), np.float64(0.04713076505710889), np.float64(0.04361127916964258), np.float64(0.04277475598338054)]","[np.int64(1614), np.int64(354), np.int64(7), np.int64(619), np.int64(39)]","[np.float64(0.0004890144565205637), np.float64(0.018838736585355183), np.float64(0.10004663695058996), np.float64(0.019918504415486895), np.float64(0.031743824395681755)]","[np.str_('(NOUN, ->, CCONJ, amod)'), np.str_('(PRON, ->, ADV, fixed)'), np.str_('(VERB, ->, ADP, parataxis)'), np.str_('(NUM, <-, PROPN, conj)'), np.str_('(ADJ, ->, PRON, nsubj)')]",Bakhtin
11,11,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.022300966674966727), np.float64(0.022300966674966727)]","[np.int64(1221), np.int64(1281), np.int64(103), np.int64(225), np.int64(731)]","[np.float64(0.025245451129217254), np.float64(0.0036273193730119928), np.float64(0.0025245451129217254), np.float64(0.010098180451686901), np.float64(0.0012915923952789151)]","[np.str_('(VERB, ->, DET, obl)'), np.str_('(ADJ, ->, PART, conj)'), np.str_('(PROPN, <-, ADV, nmod)'), np.str_('(NOUN, ->, VERB, root)'), np.str_('(VERB, ->, PART, nsubj)')]",Barinova
12,12,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[np.int64(559), np.int64(413), np.int64(491), np.int64(999), np.int64(616)]","[np.float64(0.002068019599249095), np.float64(0.0015735248686227085), np.float64(0.0015735248686227085), np.float64(0.0002519749000408662), np.float64(0.0002351864018223184)]","[np.str_('(SCONJ, <-, ADV, mark)'), np.str_('(PRON, ->, NOUN, nsubj)'), np.str_('(NOUN, <-, NOUN, orphan)'), np.str_('(PART, <-, PART, fixed)'), np.str_('(PUNCT, <-, PROPN, punct)')]",bashinform 202
13,13,"[np.float64(0.0777905951937754), np.float64(0.07432014835918832), np.float64(0.07056822246871608), np.float64(0.06866680233112643), np.float64(0.061844155751301644)]","[np.int64(1411), np.int64(390), np.int64(373), np.int64(1339), np.int64(552)]","[np.float64(0.0018577263697916661), np.float64(0.0003758483390341351), np.float64(0.04467870527278688), np.float64(0.00014000553802622967), np.float64(0.006481440785240995)]","[np.str_('(ADV, <-, PART, conj)'), np.str_('(NOUN, ->, VERB, nmod)'), np.str_('(NOUN, ->, CCONJ, parataxis)'), np.str_('(ADJ, ->, VERB, nmod)'), np.str_('(PRON, <-, ADV, nmod)')]",Belyaev
