,author_id,z_score,features,feature_stats,author,feature_names
0,0,"[np.float64(3.920344876601095), np.float64(3.8901844972545474), np.float64(3.799548627218306), np.float64(3.49635867445639), np.float64(3.4963586744563893)]","[98, 110, 465, 1001, 1111]","[np.float64(0.017210380296527203), np.float64(0.016388658565747758), np.float64(0.0050234505091920475), np.float64(0.0018620524211167085), np.float64(0.0018465857819503623)]",Abgaryan,"['(NOUN, ->, ADJ, flat:foreign)' '(AUX, <-, PRON, obj)'
 '(PUNCT, ->, ADP, orphan)' '(ADV, ->, X, nsubj)' '(ADV, ->, NUM, orphan)']"
1,1,"[np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398245)]","[1491, 1551, 1563, 1587, 1390]","[np.float64(0.0005851259675076361), np.float64(0.0005851259675076361), np.float64(0.0005851259675076361), np.float64(0.0005851259675076361), np.float64(0.0007054259627362367)]",Adamov,"['(NOUN, <-, INTJ, nmod)' '(NOUN, ->, VERB, appos)' '(NUM, ->, X, advmod)'
 '(PAD, ->, PART, appos)' '(NOUN, ->, PUNCT, acl:relcl)']"
2,2,"[np.float64(5.631719024779759), np.float64(4.894902144238948), np.float64(4.894902144238948), np.float64(4.894902144238946), np.float64(4.619906837306453)]","[134, 1879, 1888, 1867, 1946]","[np.float64(0.01883629903262058), np.float64(0.0004720840997008881), np.float64(0.0004720840997008881), np.float64(0.0005755714027711693), np.float64(0.0004720840997008881)]",Aksakov,"['(PRON, ->, VERB, det)' '(DET, ->, PAD, fixed)'
 '(ADJ, ->, ADV, nsubj:pass)' '(X, <-, PART, compound)'
 '(VERB, ->, ADJ, aux:pass)']"
3,3,"[np.float64(24.474510721194743), np.float64(23.861851266102434), np.float64(23.71743476052779), np.float64(23.109054405401718), np.float64(19.46134963272503)]","[583, 617, 527, 710, 436]","[np.float64(0.0062711716971282794), np.float64(0.0062711716971282794), np.float64(0.0062711716971282794), np.float64(0.0062711716971282794), np.float64(0.0062711716971282794)]",AkuninBorisova,"['(VERB, <-, AUX, root)' '(X, <-, ADV, acl:relcl)'
 '(ADV, <-, VERB, nsubj)' '(ADJ, ->, PUNCT, root)'
 '(VERB, <-, ADV, discourse)']"
4,4,"[np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398247)]","[1518, 1533, 1673, 1675, 1796]","[np.float64(0.0007297855312022952), np.float64(0.0009681571220546693), np.float64(0.0013355784170852026), np.float64(0.0013355784170852026), np.float64(0.0009681571220546693)]",AkuninBrusnikin,"['(ADJ, <-, NUM, csubj)' '(NOUN, <-, DET, nummod:entity)'
 '(ADV, ->, PRON, acl:relcl)' '(NUM, <-, NOUN, case)'
 '(NOUN, ->, PROPN, vocative)']"
5,5,"[np.float64(4.102514002421509), np.float64(3.258122251699916), np.float64(3.146104815101949), np.float64(3.0736702803201297), np.float64(3.0188894389152083)]","[228, 1095, 1714, 804, 387]","[np.float64(0.01699531526653887), np.float64(0.002862876333465143), np.float64(0.0010155085782654547), np.float64(0.005718074176230341), np.float64(0.011778216681464245)]",Akunin,"['(ADP, ->, X, det)' '(VERB, ->, SYM, obj)' '(ADJ, <-, VERB, advcl)'
 '(ADJ, <-, AUX, root)' '(NUM, ->, VERB, orphan)']"
6,6,"[np.float64(2.678838873686249), np.float64(2.613613884218698), np.float64(2.5732614901643838), np.float64(2.5553580539411183), np.float64(2.553100459137968)]","[8, 59, 85, 0, 695]","[np.float64(0.08655495404855673), np.float64(0.038070539704379874), np.float64(0.03417011678381686), np.float64(0.12599932962629212), np.float64(0.00627645674729075)]",Aldanov,"['(NOUN, <-, DET, PAD)' '(ADJ, ->, PUNCT, amod)' '(ADV, ->, ADV, iobj)'
 '(PROPN, ->, ADJ, advcl)' '(PART, ->, VERB, conj)']"
7,7,"[np.float64(5.871306340041412), np.float64(5.789855944364911), np.float64(5.487484484431278), np.float64(4.2956408731377245), np.float64(4.2727991340376414)]","[55, 582, 300, 54, 862]","[np.float64(0.04088965379681669), np.float64(0.007390785906223902), np.float64(0.01357503280368222), np.float64(0.04135672651445169), np.float64(0.004263690650329964)]",Aleshkovsky,"['(PART, ->, X, cop)' '(PART, ->, PART, appos)' '(AUX, <-, NOUN, root)'
 '(VERB, <-, INTJ, nsubj)' '(ADP, <-, ADV, case)']"
8,8,"[np.float64(24.474510721194736), np.float64(24.474510721194733), np.float64(24.474510721194733), np.float64(20.99601171720137), np.float64(20.77682411249946)]","[268, 520, 698, 349, 783]","[np.float64(0.01059779403080593), np.float64(0.0035325980102686436), np.float64(0.0035325980102686436), np.float64(0.007065196020537287), np.float64(0.0035325980102686436)]",Alexander Hofman,"['(PAD, ->, SYM, appos)' '(ADV, ->, NOUN, orphan)' '(NUM, ->, NUM, nsubj)'
 '(INTJ, <-, CCONJ, fixed)' '(NUM, <-, X, nummod:gov)']"
9,9,"[np.float64(7.9806418657895675), np.float64(7.328693099424217), np.float64(6.58521311840171), np.float64(6.2779414876765784), np.float64(6.122586552754763)]","[1158, 1154, 373, 420, 362]","[np.float64(0.0017770405230561532), np.float64(0.0017770405230561532), np.float64(0.009041097188779296), np.float64(0.008409543744255473), np.float64(0.009409903402159829)]",Astafiev,"['(ADP, ->, VERB, cop)' '(VERB, <-, ADP, mark)' '(CCONJ, ->, ADJ, advcl)'
 '(PART, ->, INTJ, discourse)' '(PROPN, <-, SYM, nummod:entity)']"
