,author_id,z_score,features,feature_stats,feature_names,author
0,0,"[np.float64(3.8901844972545474), np.float64(3.4847763451501605), np.float64(3.4521244462637513), np.float64(3.4311831434168876), np.float64(3.2963794968866407)]","[np.int64(733), np.int64(1842), np.int64(967), np.int64(1538), np.int64(1448)]","[np.float64(0.01638865856574776), np.float64(0.002152631430016832), np.float64(0.002152631430016832), np.float64(0.0018465857819503623), np.float64(0.0031768647272416863)]","[np.str_('(ADJ, ->, PROPN, appos)'), np.str_('(ADV, <-, ADJ, parataxis)'), np.str_('(PRON, ->, ADP, fixed)'), np.str_('(VERB, <-, ADV, xcomp)'), np.str_('(VERB, ->, NUM, ccomp)')]",Abgaryan
1,1,"[np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(6.3346460445859565), np.float64(2.8845402660843655), np.float64(2.832370370431881)]","[np.int64(875), np.int64(103), np.int64(974), np.int64(901), np.int64(1490)]","[np.float64(0.0005851259675076361), np.float64(0.0005851259675076361), np.float64(0.0005851259675076361), np.float64(0.0005851259675076361), np.float64(0.044896459780915214)]","[np.str_('(PART, ->, PART, conj)'), np.str_('(PROPN, <-, ADV, nmod)'), np.str_('(ADV, <-, PART, fixed)'), np.str_('(PROPN, ->, ADV, mark)'), np.str_('(ADJ, ->, ADV, conj)')]",Adamov
2,2,"[np.float64(5.631719024779759), np.float64(4.894902144238948), np.float64(4.894902144238946), np.float64(4.619906837306453), np.float64(3.2467347945766982)]","[np.int64(112), np.int64(375), np.int64(1892), np.int64(572), np.int64(623)]","[np.float64(0.01883629903262058), np.float64(0.00047208409970088806), np.float64(0.0005755714027711693), np.float64(0.00047208409970088806), np.float64(0.0005755714027711693)]","[np.str_('(ADJ, <-, DET, nmod)'), np.str_('(VERB, <-, INTJ, parataxis)'), np.str_('(ADJ, ->, CCONJ, conj)'), np.str_('(ADV, ->, PROPN, orphan)'), np.str_('(ADJ, <-, ADJ, iobj)')]",Aksakov
3,3,"[np.float64(9.271365393586171), np.float64(7.284028645404235), np.float64(6.424328745215853), np.float64(6.3510546488272706), np.float64(5.803509456589871)]","[np.int64(645), np.int64(657), np.int64(417), np.int64(227), np.int64(407)]","[np.float64(0.0062711716971282794), np.float64(0.0062711716971282794), np.float64(0.0062711716971282794), np.float64(0.0062711716971282794), np.float64(0.0062711716971282794)]","[np.str_('(PRON, ->, ADJ, nummod)'), np.str_('(ADJ, ->, VERB, advmod)'), np.str_('(VERB, <-, DET, parataxis)'), np.str_('(ADV, <-, DET, parataxis)'), np.str_('(ADJ, <-, ADV, parataxis)')]",AkuninBorisova
4,4,"[np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(6.600691650642883), np.float64(5.63625906303322), np.float64(5.255299185845161)]","[np.int64(1350), np.int64(537), np.int64(1785), np.int64(1422), np.int64(615)]","[np.float64(0.0009681571220546691), np.float64(0.0009681571220546691), np.float64(0.0013355784170852021), np.float64(0.0009681571220546691), np.float64(0.0009681571220546691)]","[np.str_('(PRON, ->, PART, conj)'), np.str_('(SCONJ, <-, ADJ, obl)'), np.str_('(ADV, ->, ADJ, obj)'), np.str_('(X, ->, VERB, advcl)'), np.str_('(NOUN, ->, ADJ, acl)')]",AkuninBrusnikin
5,5,"[np.float64(3.0736702803201297), np.float64(2.8680780696517827), np.float64(2.678411182880129), np.float64(2.664050207588045), np.float64(2.6086512642686093)]","[np.int64(866), np.int64(377), np.int64(1588), np.int64(1300), np.int64(310)]","[np.float64(0.005718074176230341), np.float64(0.07165550321196229), np.float64(0.016746084236603752), np.float64(0.000757786622146563), np.float64(0.000757786622146563)]","[np.str_('(PRON, <-, VERB, advmod)'), np.str_('(PROPN, ->, VERB, orphan)'), np.str_('(PRON, ->, INTJ, cc)'), np.str_('(ADV, <-, X, advmod)'), np.str_('(NOUN, <-, ADJ, punct)')]",Akunin
6,6,"[np.float64(2.553100459137968), np.float64(2.270741595193613), np.float64(2.1697881547871516), np.float64(2.1390649746827948), np.float64(2.0908800019465397)]","[np.int64(1684), np.int64(371), np.int64(1063), np.int64(1707), np.int64(1600)]","[np.float64(0.00627645674729075), np.float64(0.011144563609089756), np.float64(0.031279939694106376), np.float64(0.055767875458625576), np.float64(0.053497559604593035)]","[np.str_('(PART, <-, X, obl)'), np.str_('(ADJ, ->, X, obl)'), np.str_('(X, ->, ADP, conj)'), np.str_('(PRON, ->, ADP, acl)'), np.str_('(VERB, ->, NOUN, acl:relcl)')]",Aldanov
7,7,"[np.float64(5.789855944364911), np.float64(4.079085120199123), np.float64(4.079085120199122), np.float64(4.079085120199122), np.float64(4.079085120199122)]","[np.int64(848), np.int64(1171), np.int64(1595), np.int64(1606), np.int64(381)]","[np.float64(0.007390785906223902), np.float64(0.0032754787947575728), np.float64(0.000595979258589037), np.float64(0.000595979258589037), np.float64(0.000595979258589037)]","[np.str_('(NOUN, ->, SYM, nummod:entity)'), np.str_('(VERB, <-, ADJ, orphan)'), np.str_('(PRON, ->, SCONJ, orphan)'), np.str_('(NOUN, <-, PROPN, acl)'), np.str_('(VERB, <-, DET, conj)')]",Aleshkovsky
8,8,"[np.float64(11.53841223519292), np.float64(10.893299903113833), np.float64(9.662944654925555), np.float64(8.695554204835384), np.float64(8.61364962928451)]","[np.int64(141), np.int64(360), np.int64(166), np.int64(891), np.int64(39)]","[np.float64(0.07418455821564152), np.float64(0.007065196020537287), np.float64(0.007065196020537287), np.float64(0.0035325980102686436), np.float64(0.03443581594671481)]","[np.str_('(PUNCT, ->, ADV, root)'), np.str_('(NOUN, <-, PRON, nmod)'), np.str_('(PAD, ->, NOUN, conj)'), np.str_('(NUM, <-, ADJ, nsubj)'), np.str_('(ADJ, ->, PRON, nsubj)')]",Alexander Hofman
9,9,"[np.float64(7.9806418657895675), np.float64(6.58521311840171), np.float64(6.118627680298684), np.float64(6.118627680298684), np.float64(6.118627680298684)]","[np.int64(1538), np.int64(1992), np.int64(1250), np.int64(694), np.int64(1354)]","[np.float64(0.0017770405230561532), np.float64(0.009041097188779296), np.float64(0.008040737530874942), np.float64(0.0007766808651517977), np.float64(0.0007766808651517977)]","[np.str_('(VERB, <-, ADV, xcomp)'), np.str_('(VERB, ->, INTJ, advmod)'), np.str_('(ADV, <-, NOUN, det)'), np.str_('(PRON, ->, ADP, case)'), np.str_('(PUNCT, ->, PROPN, parataxis)')]",Astafiev
