name              ; precision;    recall;   f-score;   support
Abgaryan;0.0;0.0;0.0;7
Adamov;0.0;0.0;0.0;3
Aksakov;0.0;0.0;0.0;5
AkuninBorisova;0.0;0.0;0.0;1
AkuninBrusnikin;0.0;0.0;0.0;3
Akunin;0.0;0.0;0.0;11
Aldanov;0.0;0.0;0.0;20
Aleshkovsky;1.0;0.16666666666666666;0.2857142856897959;6
Alexander Hofman;0.0;0.0;0.0;1
Astafiev;0.0;0.0;0.0;4
Bakhtin;0.0;0.0;0.0;4
Barinova;0.0;0.0;0.0;1
bashinform 202;0.0;0.0;0.0;1
Belyaev;0.0;0.0;0.0;10
Belyanin;0.0;0.0;0.0;8
Bobkova;0.0;0.0;0.0;1
BonchOsmolovskaya;0.0;0.0;0.0;4
Brustein;1.0;0.14285714285714285;0.249999999978125;7
Bulgakov;0.0;0.0;0.0;8
Bulychev;0.0;0.0;0.0;11
Bushkov;0.0;0.0;0.0;10
Bykov;1.0;0.1111111111111111;0.19999999998199997;9
Chechin;0.0;0.0;0.0;1
Chekhov;0.0;0.0;0.0;10
Cherkasova;0.0;0.0;0.0;6
Convlab;0.0;0.0;0.0;3
Derevyanko;0.0;0.0;0.0;1
DoctorPiter;0.0;0.0;0.0;1
Dombrowski;0.0;0.0;0.0;8
Doronina;0.0;0.0;0.0;1
Dostoevsky;0.0;0.0;0.0;14
Dovlatov;1.0;0.14285714285714285;0.249999999978125;7
Dragunski;0.0;0.0;0.0;4
Drobyshevsky Rupasova;0.0;0.0;0.0;1
Drobyshevsky;1.0;0.25;0.399999999968;4
Dubchak;0.0;0.0;0.0;1
EdimDoma;0.0;0.0;0.0;1
Efremov;0.0;0.0;0.0;9
Epstein;0.0;0.0;0.0;3
Exler;0.0;0.0;0.0;5
Fadeev;0.0;0.0;0.0;4
Furmanov;0.0;0.0;0.0;5
Gachev;0.0;0.0;0.0;3
Gasymov;0.0;0.0;0.0;2
Gaydar;0.0;0.0;0.0;4
GazetaRu;0.0;0.0;0.0;1
Gelb;0.0;0.0;0.0;4
Gorelov;0.0;0.0;0.0;1
GorVestnik;0.0;0.0;0.0;1
Granin;0.0;0.0;0.0;6
Grekova;0.0;0.0;0.0;8
Grin;0.0;0.0;0.0;8
Gusev;0.0;0.0;0.0;2
Gusiatnikova;0.0;0.0;0.0;1
Hoffman;0.0;0.0;0.0;5
Kassil;0.0;0.0;0.0;9
Kataev;0.0;0.0;0.0;9
Kaverin;0.0;0.0;0.0;13
Kirsanova Anodina Aksenov;0.0;0.0;0.0;1
Knabe;0.0;0.0;0.0;2
Koni;0.0;0.0;0.0;1
Kozlov;0.0;0.0;0.0;5
Krapivin;0.0;0.0;0.0;14
Kuprin;0.0;0.0;0.0;9
Lermontov;0.0;0.0;0.0;3
Losev;0.0;0.0;0.0;10
Lubimova;0.0;0.0;0.0;1
Lukyanenko;0.0;0.0;0.0;8
Lungu;0.0;0.0;0.0;1
Makushinskiyi;0.6666666666666666;0.3333333333333333;0.44444444439999997;6
Malevish;0.0;0.0;0.0;3
Mamin-Sibiryak;0.0;0.0;0.0;10
Mamina;0.0;0.0;0.0;1
Marchik;0.0;0.0;0.0;1
Marinina;0.0;0.0;0.0;10
Mikhalkov;0.0;0.0;0.0;2
Moshkov;0.0;0.0;0.0;5
NakedScience;0.0;0.0;0.0;1
Nosov;0.0;0.0;0.0;5
Oseeva;0.0;0.0;0.0;5
Oster;0.0;0.0;0.0;2
Plevako;0.0;0.0;0.0;1
Preobrazhensky;0.0;0.0;0.0;4
Prokofeva;0.0;0.0;0.0;4
Pushkin;0.0;0.0;0.0;2
pvlida;0.0;0.0;0.0;1
Regentov;0.0;0.0;0.0;5
Rubina;0.0;0.0;0.0;3
Rybakov;0.0;0.0;0.0;9
Salnikov;0.0;0.0;0.0;3
SaltykovSchedrin;0.0;0.0;0.0;8
Semihatov;0.0;0.0;0.0;1
Serafimovich;0.5;0.1111111111111111;0.18181818178842973;9
Sergeev-Tsenskij;0.0;0.0;0.0;4
Shevtsov;1.0;0.5;0.6666666666222222;2
Shukshin;0.0;0.0;0.0;2
ShushpanovLouk;0.0;0.0;0.0;1
Shushpanov;0.0;0.0;0.0;2
Simonov;0.0;0.0;0.0;4
Soloviev;0.0;0.0;0.0;1
Solovyov;0.0;0.0;0.0;1
Stepnova;0.0;0.0;0.0;4
Strugatskie;1.0;0.1;0.18181818180165288;10
Tamonikov;0.0;0.0;0.0;7
TEDRus;0.0;0.0;0.0;1
Teffi;0.0;0.0;0.0;5
Tolstoy;0.0;0.0;0.0;16
Turgenev;0.0;0.0;0.0;5
Uspensky;0.0;0.0;0.0;9
Vainery;0.0;0.0;0.0;11
vestnik nsu;1.0;0.5;0.6666666666222222;2
VestnikRayona;0.0;0.0;0.0;1
Vladimirova;0.0;0.0;0.0;1
Vlasova;0.0;0.0;0.0;3
Voinovich;0.0;0.0;0.0;10
Volkov;0.0;0.0;0.0;6
Vorotyntseva;0.0;0.0;0.0;1
YasenevoMedia;0.0;0.0;0.0;1
Zemlyanoj;0.0;0.0;0.0;12
Zhitkov;0.0;0.0;0.0;5
ZlotnikovNikolaev;0.0;0.0;0.0;3
Zlotnikov;0.0;0.0;0.0;3
Zoschenko;0.0;0.0;0.0;7
name              ; precision;    recall;   f-score;   support
Abgaryan;1.0;1.0;0.99999999995;7
Adamov;1.0;1.0;0.99999999995;3
Aksakov;1.0;1.0;0.99999999995;5
AkuninBorisova;1.0;1.0;0.99999999995;1
AkuninBrusnikin;1.0;1.0;0.99999999995;3
Akunin;1.0;1.0;0.99999999995;11
Aldanov;1.0;1.0;0.99999999995;20
Aleshkovsky;1.0;1.0;0.99999999995;6
Alexander Hofman;1.0;1.0;0.99999999995;1
Astafiev;1.0;1.0;0.99999999995;4
Bakhtin;1.0;1.0;0.99999999995;4
Barinova;1.0;1.0;0.99999999995;1
bashinform 202;1.0;1.0;0.99999999995;1
Belyaev;1.0;0.9;0.9473684210027702;10
Belyanin;1.0;1.0;0.99999999995;8
Bobkova;1.0;1.0;0.99999999995;1
BonchOsmolovskaya;1.0;1.0;0.99999999995;4
Brustein;1.0;1.0;0.99999999995;7
Bulgakov;1.0;1.0;0.99999999995;8
Bulychev;1.0;0.9090909090909091;0.9523809523310657;11
Bushkov;1.0;1.0;0.99999999995;10
Bykov;1.0;1.0;0.99999999995;9
Chechin;1.0;1.0;0.99999999995;1
